Sexo;Duración;Destino;Tipo de dato;Periodo;Total
Total;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2023;31,66
Total;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2022;33,31
Total;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2021;32,45
Total;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2020;31,37
Total;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2019;30,65
Total;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2018;30,44
Total;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2017;29,54
Total;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2016;31,36
Total;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2015;30,15
Total;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2023;46,02
Total;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2022;50,95
Total;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2021;59,95
Total;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2020;49,05
Total;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2019;44
Total;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2018;45,18
Total;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2017;45
Total;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2016;47,71
Total;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2015;48,02
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2023;4,33
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2022;3,31
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2021;1,74
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2020;3,31
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2019;4,68
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2018;4,74
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2017;4,62
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2016;4,5
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2015;4,47
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2023;6,3
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2022;5,06
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2021;3,21
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2020;5,18
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2019;6,71
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2018;7,03
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2017;7,04
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2016;6,85
Total;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2015;7,12
Total;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2023;17,65
Total;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2022;12,63
Total;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2021;4,79
Total;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2020;14,28
Total;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2019;19,23
Total;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2018;17,55
Total;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2017;15,68
Total;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2016;14,6
Total;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2015;13,38
Total;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2023;25,65
Total;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2022;19,32
Total;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2021;8,85
Total;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2020;22,33
Total;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2019;27,61
Total;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2018;26,04
Total;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2017;23,89
Total;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2016;22,21
Total;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2015;21,3
Hombres;Total;Total;Porcentaje sobre personas de la categoría;2023;67,77
Hombres;Total;Total;Porcentaje sobre personas de la categoría;2022;63,81
Hombres;Total;Total;Porcentaje sobre personas de la categoría;2021;54,45
Hombres;Total;Total;Porcentaje sobre personas de la categoría;2020;64,16
Hombres;Total;Total;Porcentaje sobre personas de la categoría;2019;69,64
Hombres;Total;Total;Porcentaje sobre personas de la categoría;2018;67,26
Hombres;Total;Total;Porcentaje sobre personas de la categoría;2017;64,89
Hombres;Total;Total;Porcentaje sobre personas de la categoría;2016;64,94
Hombres;Total;Total;Porcentaje sobre personas de la categoría;2015;62,6
Hombres;Total;Total;Porcentaje sobre el total de viajeros;2023;48,24
Hombres;Total;Total;Porcentaje sobre el total de viajeros;2022;47,45
Hombres;Total;Total;Porcentaje sobre el total de viajeros;2021;49,84
Hombres;Total;Total;Porcentaje sobre el total de viajeros;2020;49,38
Hombres;Total;Total;Porcentaje sobre el total de viajeros;2019;49,3
Hombres;Total;Total;Porcentaje sobre el total de viajeros;2018;49,33
Hombres;Total;Total;Porcentaje sobre el total de viajeros;2017;48,76
Hombres;Total;Total;Porcentaje sobre el total de viajeros;2016;48,84
Hombres;Total;Total;Porcentaje sobre el total de viajeros;2015;49,19
Hombres;Total;Solo España;Porcentaje sobre personas de la categoría;2023;44,17
Hombres;Total;Solo España;Porcentaje sobre personas de la categoría;2022;46,76
Hombres;Total;Solo España;Porcentaje sobre personas de la categoría;2021;46,06
Hombres;Total;Solo España;Porcentaje sobre personas de la categoría;2020;45,36
Hombres;Total;Solo España;Porcentaje sobre personas de la categoría;2019;43,94
Hombres;Total;Solo España;Porcentaje sobre personas de la categoría;2018;42,92
Hombres;Total;Solo España;Porcentaje sobre personas de la categoría;2017;43,8
Hombres;Total;Solo España;Porcentaje sobre personas de la categoría;2016;44,95
Hombres;Total;Solo España;Porcentaje sobre personas de la categoría;2015;43,84
Hombres;Total;Solo España;Porcentaje sobre el total de viajeros;2023;31,44
Hombres;Total;Solo España;Porcentaje sobre el total de viajeros;2022;34,77
Hombres;Total;Solo España;Porcentaje sobre el total de viajeros;2021;42,16
Hombres;Total;Solo España;Porcentaje sobre el total de viajeros;2020;34,91
Hombres;Total;Solo España;Porcentaje sobre el total de viajeros;2019;31,11
Hombres;Total;Solo España;Porcentaje sobre el total de viajeros;2018;31,48
Hombres;Total;Solo España;Porcentaje sobre el total de viajeros;2017;32,91
Hombres;Total;Solo España;Porcentaje sobre el total de viajeros;2016;33,81
Hombres;Total;Solo España;Porcentaje sobre el total de viajeros;2015;34,45
Hombres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2023;4,96
Hombres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2022;3,64
Hombres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2021;2,41
Hombres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2020;4,25
Hombres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2019;6,01
Hombres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2018;5,35
Hombres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2017;5,53
Hombres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2016;5,26
Hombres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2015;4,88
Hombres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2023;3,53
Hombres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2022;2,7
Hombres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2021;2,2
Hombres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2020;3,27
Hombres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2019;4,25
Hombres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2018;3,92
Hombres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2017;4,16
Hombres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2016;3,95
Hombres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2015;3,83
Hombres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2023;18,65
Hombres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2022;13,41
Hombres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2021;5,98
