País de residencia;Total Nacional y CCAA;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Países Nórdicos;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2016;11,79
Países Nórdicos;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2023;23,77
Países Nórdicos;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2022;-20,78
Países Nórdicos;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2021;-5,98
Países Nórdicos;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2020;91,85
Países Nórdicos;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2019;-9,38
Países Nórdicos;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2018;-10,7
Países Nórdicos;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2017;-29,33
Países Nórdicos;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2016;-27,59
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto total;2023;306,23
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto total;2022;261,55
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto total;2021;88,22
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto total;2020;46,38
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto total;2019;197,73
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto total;2018;176,55
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto total;2017;217,51
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto total;2016;183,57
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2023;1.470
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2022;1.454
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2021;1.289
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2020;1.167
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2019;989
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2018;946
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2017;1.027
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2016;1.053
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2023;158
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2022;133
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2021;120
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2020;131
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2019;143
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2018;124
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2017;118
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2016;122
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2023;9,28
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2022;10,96
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2021;10,73
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2020;8,92
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2019;6,93
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2018;7,66
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2017;8,69
Países Nórdicos;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2016;8,64
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2023;17,08
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2022;196,47
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2021;90,21
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2020;-76,54
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2019;12
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2018;-18,83
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2017;18,49
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2016;-19,51
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2023;1,06
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2022;12,78
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2021;10,48
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2020;18,02
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2019;4,58
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2018;-7,96
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2017;-2,49
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2016;-5,94
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2023;19,43
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2022;10,4
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2021;-8,15
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2020;-8,35
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2019;15,55
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2018;4,47
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2017;-2,99
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2016;-12,49
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2023;-15,38
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2022;2,16
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2021;20,28
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2020;28,77
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2019;-9,49
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2018;-11,9
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2017;0,52
Países Nórdicos;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2016;7,48
Alemania;Total;Dato base;Gasto total;2023;13.204,65
Alemania;Total;Dato base;Gasto total;2022;11.526,44
Alemania;Total;Dato base;Gasto total;2021;6.034,58
Alemania;Total;Dato base;Gasto total;2020;2.621,3
Alemania;Total;Dato base;Gasto total;2019;11.686,59
Alemania;Total;Dato base;Gasto total;2018;11.976,69
Alemania;Total;Dato base;Gasto total;2017;12.233,43
Alemania;Total;Dato base;Gasto total;2016;11.098,21
Alemania;Total;Dato base;Gasto medio por persona;2023;1.202
Alemania;Total;Dato base;Gasto medio por persona;2022;1.180
Alemania;Total;Dato base;Gasto medio por persona;2021;1.159
Alemania;Total;Dato base;Gasto medio por persona;2020;1.096
Alemania;Total;Dato base;Gasto medio por persona;2019;1.047
Alemania;Total;Dato base;Gasto medio por persona;2018;1.049
Alemania;Total;Dato base;Gasto medio por persona;2017;1.028
Alemania;Total;Dato base;Gasto medio por persona;2016;990
Alemania;Total;Dato base;Gasto medio diario por persona;2023;155
Alemania;Total;Dato base;Gasto medio diario por persona;2022;145
Alemania;Total;Dato base;Gasto medio diario por persona;2021;135
Alemania;Total;Dato base;Gasto medio diario por persona;2020;124
Alemania;Total;Dato base;Gasto medio diario por persona;2019;138
Alemania;Total;Dato base;Gasto medio diario por persona;2018;132
Alemania;Total;Dato base;Gasto medio diario por persona;2017;124
Alemania;Total;Dato base;Gasto medio diario por persona;2016;119
Alemania;Total;Dato base;Duración media de los viajes;2023;7,76
Alemania;Total;Dato base;Duración media de los viajes;2022;8,15
Alemania;Total;Dato base;Duración media de los viajes;2021;8,59
Alemania;Total;Dato base;Duración media de los viajes;2020;8,83
Alemania;Total;Dato base;Duración media de los viajes;2019;7,58
Alemania;Total;Dato base;Duración media de los viajes;2018;7,94
Alemania;Total;Dato base;Duración media de los viajes;2017;8,29
Alemania;Total;Dato base;Duración media de los viajes;2016;8,34
Alemania;Total;Tasa de variación anual;Gasto total;2023;14,56
Alemania;Total;Tasa de variación anual;Gasto total;2022;91,01
Alemania;Total;Tasa de variación anual;Gasto total;2021;130,21
Alemania;Total;Tasa de variación anual;Gasto total;2020;-77,57
Alemania;Total;Tasa de variación anual;Gasto total;2019;-2,42
Alemania;Total;Tasa de variación anual;Gasto total;2018;-2,1
Alemania;Total;Tasa de variación anual;Gasto total;2017;10,23
Alemania;Total;Tasa de variación anual;Gasto total;2016;5,71
Alemania;Total;Tasa de variación anual;Gasto medio por persona;2023;1,83
Alemania;Total;Tasa de variación anual;Gasto medio por persona;2022;1,85
Alemania;Total;Tasa de variación anual;Gasto medio por persona;2021;5,69
Alemania;Total;Tasa de variación anual;Gasto medio por persona;2020;4,65
Alemania;Total;Tasa de variación anual;Gasto medio por persona;2019;-0,18
Alemania;Total;Tasa de variación anual;Gasto medio por persona;2018;2,04
Alemania;Total;Tasa de variación anual;Gasto medio por persona;2017;3,85
Alemania;Total;Tasa de variación anual;Gasto medio por persona;2016;-1,07
Alemania;Total;Tasa de variación anual;Gasto medio diario por persona;2023;6,91
Alemania;Total;Tasa de variación anual;Gasto medio diario por persona;2022;7,3
Alemania;Total;Tasa de variación anual;Gasto medio diario por persona;2021;8,69
Alemania;Total;Tasa de variación anual;Gasto medio diario por persona;2020;-10,18
Alemania;Total;Tasa de variación anual;Gasto medio diario por persona;2019;4,55
Alemania;Total;Tasa de variación anual;Gasto medio diario por persona;2018;6,53
Alemania;Total;Tasa de variación anual;Gasto medio diario por persona;2017;4,48
Alemania;Total;Tasa de variación anual;Gasto medio diario por persona;2016;6,46
Alemania;Total;Tasa de variación anual;Duración media de los viajes;2023;-4,75
Alemania;Total;Tasa de variación anual;Duración media de los viajes;2022;-5,08
Alemania;Total;Tasa de variación anual;Duración media de los viajes;2021;-2,76
Alemania;Total;Tasa de variación anual;Duración media de los viajes;2020;16,52
Alemania;Total;Tasa de variación anual;Duración media de los viajes;2019;-4,52
Alemania;Total;Tasa de variación anual;Duración media de los viajes;2018;-4,21
Alemania;Total;Tasa de variación anual;Duración media de los viajes;2017;-0,6
Alemania;Total;Tasa de variación anual;Duración media de los viajes;2016;-7,07
Alemania;01 Andalucía;Dato base;Gasto total;2023;1.314,95
Alemania;01 Andalucía;Dato base;Gasto total;2022;1.045,65
Alemania;01 Andalucía;Dato base;Gasto total;2021;464,01
Alemania;01 Andalucía;Dato base;Gasto total;2020;255,96
Alemania;01 Andalucía;Dato base;Gasto total;2019;1.168,38
Alemania;01 Andalucía;Dato base;Gasto total;2018;1.256,69
Alemania;01 Andalucía;Dato base;Gasto total;2017;1.258,89
Alemania;01 Andalucía;Dato base;Gasto total;2016;1.121,33
Alemania;01 Andalucía;Dato base;Gasto medio por persona;2023;1.267
Alemania;01 Andalucía;Dato base;Gasto medio por persona;2022;1.211
Alemania;01 Andalucía;Dato base;Gasto medio por persona;2021;1.040
Alemania;01 Andalucía;Dato base;Gasto medio por persona;2020;1.056
Alemania;01 Andalucía;Dato base;Gasto medio por persona;2019;1.048
Alemania;01 Andalucía;Dato base;Gasto medio por persona;2018;1.165
Alemania;01 Andalucía;Dato base;Gasto medio por persona;2017;1.123
Alemania;01 Andalucía;Dato base;Gasto medio por persona;2016;1.132
Alemania;01 Andalucía;Dato base;Gasto medio diario por persona;2023;130
Alemania;01 Andalucía;Dato base;Gasto medio diario por persona;2022;113
Alemania;01 Andalucía;Dato base;Gasto medio diario por persona;2021;100
Alemania;01 Andalucía;Dato base;Gasto medio diario por persona;2020;102
Alemania;01 Andalucía;Dato base;Gasto medio diario por persona;2019;117
Alemania;01 Andalucía;Dato base;Gasto medio diario por persona;2018;114
Alemania;01 Andalucía;Dato base;Gasto medio diario por persona;2017;105
Alemania;01 Andalucía;Dato base;Gasto medio diario por persona;2016;102
Alemania;01 Andalucía;Dato base;Duración media de los viajes;2023;9,71
Alemania;01 Andalucía;Dato base;Duración media de los viajes;2022;10,69
Alemania;01 Andalucía;Dato base;Duración media de los viajes;2021;10,39
Alemania;01 Andalucía;Dato base;Duración media de los viajes;2020;10,34
Alemania;01 Andalucía;Dato base;Duración media de los viajes;2019;8,96
Alemania;01 Andalucía;Dato base;Duración media de los viajes;2018;10,18
Alemania;01 Andalucía;Dato base;Duración media de los viajes;2017;10,7
Alemania;01 Andalucía;Dato base;Duración media de los viajes;2016;11,14
Alemania;01 Andalucía;Tasa de variación anual;Gasto total;2023;25,75
Alemania;01 Andalucía;Tasa de variación anual;Gasto total;2022;125,35
Alemania;01 Andalucía;Tasa de variación anual;Gasto total;2021;81,28
Alemania;01 Andalucía;Tasa de variación anual;Gasto total;2020;-78,09
Alemania;01 Andalucía;Tasa de variación anual;Gasto total;2019;-7,03
Alemania;01 Andalucía;Tasa de variación anual;Gasto total;2018;-0,17
Alemania;01 Andalucía;Tasa de variación anual;Gasto total;2017;12,27
Alemania;01 Andalucía;Tasa de variación anual;Gasto total;2016;12,37
Alemania;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2023;4,58
Alemania;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2022;16,41
Alemania;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2021;-1,45
Alemania;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2020;0,68
Alemania;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2019;-10
Alemania;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2018;3,77
Alemania;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2017;-0,79
Alemania;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2016;0,26
Alemania;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2023;15,17
Alemania;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2022;13,14
Alemania;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2021;-1,94
Alemania;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2020;-12,79
Alemania;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2019;2,29
Alemania;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2018;9,08
Alemania;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2017;3,27
Alemania;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2016;3,29
Alemania;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2023;-9,19
Alemania;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2022;2,89
Alemania;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2021;0,5
Alemania;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2020;15,45
Alemania;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2019;-12,01
Alemania;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2018;-4,87
Alemania;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2017;-3,93
Alemania;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2016;-2,93
Alemania;04 Balears, Illes;Dato base;Gasto total;2023;5.143,47
Alemania;04 Balears, Illes;Dato base;Gasto total;2022;4.679,1
Alemania;04 Balears, Illes;Dato base;Gasto total;2021;2.636,39
Alemania;04 Balears, Illes;Dato base;Gasto total;2020;723,55
Alemania;04 Balears, Illes;Dato base;Gasto total;2019;4.575,74
Alemania;04 Balears, Illes;Dato base;Gasto total;2018;4.649,4
Alemania;04 Balears, Illes;Dato base;Gasto total;2017;4.890,66
Alemania;04 Balears, Illes;Dato base;Gasto total;2016;4.436,99
Alemania;04 Balears, Illes;Dato base;Gasto medio por persona;2023;1.116
Alemania;04 Balears, Illes;Dato base;Gasto medio por persona;2022;1.088
Alemania;04 Balears, Illes;Dato base;Gasto medio por persona;2021;1.123
Alemania;04 Balears, Illes;Dato base;Gasto medio por persona;2020;1.015
Alemania;04 Balears, Illes;Dato base;Gasto medio por persona;2019;1.011
Alemania;04 Balears, Illes;Dato base;Gasto medio por persona;2018;997
Alemania;04 Balears, Illes;Dato base;Gasto medio por persona;2017;1.013
Alemania;04 Balears, Illes;Dato base;Gasto medio por persona;2016;961
Alemania;04 Balears, Illes;Dato base;Gasto medio diario por persona;2023;169
Alemania;04 Balears, Illes;Dato base;Gasto medio diario por persona;2022;158
Alemania;04 Balears, Illes;Dato base;Gasto medio diario por persona;2021;147
Alemania;04 Balears, Illes;Dato base;Gasto medio diario por persona;2020;132
Alemania;04 Balears, Illes;Dato base;Gasto medio diario por persona;2019;152
Alemania;04 Balears, Illes;Dato base;Gasto medio diario por persona;2018;145
Alemania;04 Balears, Illes;Dato base;Gasto medio diario por persona;2017;133
Alemania;04 Balears, Illes;Dato base;Gasto medio diario por persona;2016;129
Alemania;04 Balears, Illes;Dato base;Duración media de los viajes;2023;6,62
Alemania;04 Balears, Illes;Dato base;Duración media de los viajes;2022;6,91
Alemania;04 Balears, Illes;Dato base;Duración media de los viajes;2021;7,62
Alemania;04 Balears, Illes;Dato base;Duración media de los viajes;2020;7,69
Alemania;04 Balears, Illes;Dato base;Duración media de los viajes;2019;6,63
Alemania;04 Balears, Illes;Dato base;Duración media de los viajes;2018;6,88
Alemania;04 Balears, Illes;Dato base;Duración media de los viajes;2017;7,63
Alemania;04 Balears, Illes;Dato base;Duración media de los viajes;2016;7,44
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto total;2023;9,92
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto total;2022;77,48
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto total;2021;264,37
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto total;2020;-84,19
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto total;2019;-1,58
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto total;2018;-4,93
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto total;2017;10,22
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto total;2016;6,06
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2023;2,57
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2022;-3,12
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2021;10,66
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2020;0,41
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2019;1,36
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2018;-1,54
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2017;5,36
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2016;-0,26
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2023;7,05
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2022;6,95
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2021;11,65
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2020;-13,42
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2019;5,1
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2018;9,29
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2017;2,66
Alemania;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2016;5,35
Alemania;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2023;-4,18
Alemania;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2022;-9,42
Alemania;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2021;-0,88
Alemania;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2020;15,97
Alemania;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2019;-3,56
Alemania;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2018;-9,9
Alemania;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2017;2,64
Alemania;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2016;-5,32
Alemania;05 Canarias;Dato base;Gasto total;2023;3.638,31
Alemania;05 Canarias;Dato base;Gasto total;2022;3.222,55
Alemania;05 Canarias;Dato base;Gasto total;2021;1.788,35
Alemania;05 Canarias;Dato base;Gasto total;2020;1.074,29
Alemania;05 Canarias;Dato base;Gasto total;2019;3.306,38
Alemania;05 Canarias;Dato base;Gasto total;2018;3.618,57
Alemania;05 Canarias;Dato base;Gasto total;2017;3.591,4
Alemania;05 Canarias;Dato base;Gasto total;2016;3.236,64
Alemania;05 Canarias;Dato base;Gasto medio por persona;2023;1.526
Alemania;05 Canarias;Dato base;Gasto medio por persona;2022;1.526
Alemania;05 Canarias;Dato base;Gasto medio por persona;2021;1.443
Alemania;05 Canarias;Dato base;Gasto medio por persona;2020;1.328
Alemania;05 Canarias;Dato base;Gasto medio por persona;2019;1.314
Alemania;05 Canarias;Dato base;Gasto medio por persona;2018;1.289
Alemania;05 Canarias;Dato base;Gasto medio por persona;2017;1.223
Alemania;05 Canarias;Dato base;Gasto medio por persona;2016;1.150
Alemania;05 Canarias;Dato base;Gasto medio diario por persona;2023;162
Alemania;05 Canarias;Dato base;Gasto medio diario por persona;2022;153
Alemania;05 Canarias;Dato base;Gasto medio diario por persona;2021;146
Alemania;05 Canarias;Dato base;Gasto medio diario por persona;2020;142
Alemania;05 Canarias;Dato base;Gasto medio diario por persona;2019;143
Alemania;05 Canarias;Dato base;Gasto medio diario por persona;2018;138
Alemania;05 Canarias;Dato base;Gasto medio diario por persona;2017;129
Alemania;05 Canarias;Dato base;Gasto medio diario por persona;2016;124
Alemania;05 Canarias;Dato base;Duración media de los viajes;2023;9,43
Alemania;05 Canarias;Dato base;Duración media de los viajes;2022;9,96
Alemania;05 Canarias;Dato base;Duración media de los viajes;2021;9,88
Alemania;05 Canarias;Dato base;Duración media de los viajes;2020;9,35
Alemania;05 Canarias;Dato base;Duración media de los viajes;2019;9,2
Alemania;05 Canarias;Dato base;Duración media de los viajes;2018;9,35
Alemania;05 Canarias;Dato base;Duración media de los viajes;2017;9,51
Alemania;05 Canarias;Dato base;Duración media de los viajes;2016;9,28
Alemania;05 Canarias;Tasa de variación anual;Gasto total;2023;12,9
Alemania;05 Canarias;Tasa de variación anual;Gasto total;2022;80,2
Alemania;05 Canarias;Tasa de variación anual;Gasto total;2021;66,47
Alemania;05 Canarias;Tasa de variación anual;Gasto total;2020;-67,51
Alemania;05 Canarias;Tasa de variación anual;Gasto total;2019;-8,63
Alemania;05 Canarias;Tasa de variación anual;Gasto total;2018;0,76
Alemania;05 Canarias;Tasa de variación anual;Gasto total;2017;10,96
Alemania;05 Canarias;Tasa de variación anual;Gasto total;2016;5,77
Alemania;05 Canarias;Tasa de variación anual;Gasto medio por persona;2023;0
Alemania;05 Canarias;Tasa de variación anual;Gasto medio por persona;2022;5,8
Alemania;05 Canarias;Tasa de variación anual;Gasto medio por persona;2021;8,63
Alemania;05 Canarias;Tasa de variación anual;Gasto medio por persona;2020;1,07
Alemania;05 Canarias;Tasa de variación anual;Gasto medio por persona;2019;1,91
Alemania;05 Canarias;Tasa de variación anual;Gasto medio por persona;2018;5,38
Alemania;05 Canarias;Tasa de variación anual;Gasto medio por persona;2017;6,34
Alemania;05 Canarias;Tasa de variación anual;Gasto medio por persona;2016;-0,26
Alemania;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2023;5,71
Alemania;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2022;4,97
Alemania;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2021;2,72
Alemania;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2020;-0,48
Alemania;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2019;3,51
Alemania;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2018;7,22
Alemania;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2017;3,74
Alemania;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2016;1,14
Alemania;05 Canarias;Tasa de variación anual;Duración media de los viajes;2023;-5,4
Alemania;05 Canarias;Tasa de variación anual;Duración media de los viajes;2022;0,79
Alemania;05 Canarias;Tasa de variación anual;Duración media de los viajes;2021;5,75
Alemania;05 Canarias;Tasa de variación anual;Duración media de los viajes;2020;1,56
Alemania;05 Canarias;Tasa de variación anual;Duración media de los viajes;2019;-1,55
Alemania;05 Canarias;Tasa de variación anual;Duración media de los viajes;2018;-1,72
Alemania;05 Canarias;Tasa de variación anual;Duración media de los viajes;2017;2,5
Alemania;05 Canarias;Tasa de variación anual;Duración media de los viajes;2016;-1,39
Alemania;09 Cataluña;Dato base;Gasto total;2023;1.365,12
Alemania;09 Cataluña;Dato base;Gasto total;2022;1.199,35
Alemania;09 Cataluña;Dato base;Gasto total;2021;440,65
Alemania;09 Cataluña;Dato base;Gasto total;2020;201,3
Alemania;09 Cataluña;Dato base;Gasto total;2019;1.236,78
Alemania;09 Cataluña;Dato base;Gasto total;2018;1.204,63
Alemania;09 Cataluña;Dato base;Gasto total;2017;1.260,66
Alemania;09 Cataluña;Dato base;Gasto total;2016;1.175,08
Alemania;09 Cataluña;Dato base;Gasto medio por persona;2023;985
Alemania;09 Cataluña;Dato base;Gasto medio por persona;2022;990
Alemania;09 Cataluña;Dato base;Gasto medio por persona;2021;883
Alemania;09 Cataluña;Dato base;Gasto medio por persona;2020;883
Alemania;09 Cataluña;Dato base;Gasto medio por persona;2019;864
Alemania;09 Cataluña;Dato base;Gasto medio por persona;2018;852
Alemania;09 Cataluña;Dato base;Gasto medio por persona;2017;804
Alemania;09 Cataluña;Dato base;Gasto medio por persona;2016;764
Alemania;09 Cataluña;Dato base;Gasto medio diario por persona;2023;167
Alemania;09 Cataluña;Dato base;Gasto medio diario por persona;2022;155
Alemania;09 Cataluña;Dato base;Gasto medio diario por persona;2021;142
Alemania;09 Cataluña;Dato base;Gasto medio diario por persona;2020;113
Alemania;09 Cataluña;Dato base;Gasto medio diario por persona;2019;141
Alemania;09 Cataluña;Dato base;Gasto medio diario por persona;2018;131
Alemania;09 Cataluña;Dato base;Gasto medio diario por persona;2017;132
Alemania;09 Cataluña;Dato base;Gasto medio diario por persona;2016;124
Alemania;09 Cataluña;Dato base;Duración media de los viajes;2023;5,91
Alemania;09 Cataluña;Dato base;Duración media de los viajes;2022;6,38
Alemania;09 Cataluña;Dato base;Duración media de los viajes;2021;6,2
Alemania;09 Cataluña;Dato base;Duración media de los viajes;2020;7,79
Alemania;09 Cataluña;Dato base;Duración media de los viajes;2019;6,11
Alemania;09 Cataluña;Dato base;Duración media de los viajes;2018;6,48
Alemania;09 Cataluña;Dato base;Duración media de los viajes;2017;6,09
Alemania;09 Cataluña;Dato base;Duración media de los viajes;2016;6,18
Alemania;09 Cataluña;Tasa de variación anual;Gasto total;2023;13,82
Alemania;09 Cataluña;Tasa de variación anual;Gasto total;2022;172,18
Alemania;09 Cataluña;Tasa de variación anual;Gasto total;2021;118,9
Alemania;09 Cataluña;Tasa de variación anual;Gasto total;2020;-83,72
