País de residencia;Total Nacional y CCAA;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Total;04 Balears, Illes;Dato base;Duración media de los viajes;2018;6,82
Total;04 Balears, Illes;Dato base;Duración media de los viajes;2017;7,34
Total;04 Balears, Illes;Dato base;Duración media de los viajes;2016;7,31
Total;04 Balears, Illes;Tasa de variación anual;Gasto total;2023;16,23
Total;04 Balears, Illes;Tasa de variación anual;Gasto total;2022;109,12
Total;04 Balears, Illes;Tasa de variación anual;Gasto total;2021;295,84
Total;04 Balears, Illes;Tasa de variación anual;Gasto total;2020;-87,61
Total;04 Balears, Illes;Tasa de variación anual;Gasto total;2019;0,58
Total;04 Balears, Illes;Tasa de variación anual;Gasto total;2018;1,08
Total;04 Balears, Illes;Tasa de variación anual;Gasto total;2017;12,26
Total;04 Balears, Illes;Tasa de variación anual;Gasto total;2016;10,13
Total;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2023;6,4
Total;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2022;0,17
Total;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2021;7,72
Total;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2020;-1,54
Total;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2019;1,85
Total;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2018;0,64
Total;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2017;5,79
Total;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2016;-1,22
Total;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2023;9,09
Total;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2022;8,59
Total;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2021;14,12
Total;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2020;-13,82
Total;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2019;3,84
Total;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2018;8,32
Total;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2017;5,36
Total;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2016;5,71
Total;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2023;-2,47
Total;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2022;-7,75
Total;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2021;-5,61
Total;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2020;14,25
Total;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2019;-1,92
Total;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2018;-7,09
Total;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2017;0,41
Total;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2016;-6,55
Total;05 Canarias;Dato base;Gasto total;2023;20.332,53
Total;05 Canarias;Dato base;Gasto total;2022;17.452,7
Total;05 Canarias;Dato base;Gasto total;2021;7.186,85
Total;05 Canarias;Dato base;Gasto total;2020;4.823,21
Total;05 Canarias;Dato base;Gasto total;2019;16.854,32
Total;05 Canarias;Dato base;Gasto total;2018;17.112,27
Total;05 Canarias;Dato base;Gasto total;2017;16.783,59
Total;05 Canarias;Dato base;Gasto total;2016;15.070,27
Total;05 Canarias;Dato base;Gasto medio por persona;2023;1.457
Total;05 Canarias;Dato base;Gasto medio por persona;2022;1.416
Total;05 Canarias;Dato base;Gasto medio por persona;2021;1.367
Total;05 Canarias;Dato base;Gasto medio por persona;2020;1.274
Total;05 Canarias;Dato base;Gasto medio por persona;2019;1.282
Total;05 Canarias;Dato base;Gasto medio por persona;2018;1.244
Total;05 Canarias;Dato base;Gasto medio por persona;2017;1.181
Total;05 Canarias;Dato base;Gasto medio por persona;2016;1.137
Total;05 Canarias;Dato base;Gasto medio diario por persona;2023;172
Total;05 Canarias;Dato base;Gasto medio diario por persona;2022;163
Total;05 Canarias;Dato base;Gasto medio diario por persona;2021;152
Total;05 Canarias;Dato base;Gasto medio diario por persona;2020;150
Total;05 Canarias;Dato base;Gasto medio diario por persona;2019;150
Total;05 Canarias;Dato base;Gasto medio diario por persona;2018;146
Total;05 Canarias;Dato base;Gasto medio diario por persona;2017;138
Total;05 Canarias;Dato base;Gasto medio diario por persona;2016;130
Total;05 Canarias;Dato base;Duración media de los viajes;2023;8,46
Total;05 Canarias;Dato base;Duración media de los viajes;2022;8,69
Total;05 Canarias;Dato base;Duración media de los viajes;2021;8,96
Total;05 Canarias;Dato base;Duración media de los viajes;2020;8,48
Total;05 Canarias;Dato base;Duración media de los viajes;2019;8,53
Total;05 Canarias;Dato base;Duración media de los viajes;2018;8,52
Total;05 Canarias;Dato base;Duración media de los viajes;2017;8,57
Total;05 Canarias;Dato base;Duración media de los viajes;2016;8,73
Total;05 Canarias;Tasa de variación anual;Gasto total;2023;16,5
Total;05 Canarias;Tasa de variación anual;Gasto total;2022;142,84
Total;05 Canarias;Tasa de variación anual;Gasto total;2021;49,01
Total;05 Canarias;Tasa de variación anual;Gasto total;2020;-71,38
Total;05 Canarias;Tasa de variación anual;Gasto total;2019;-1,51
Total;05 Canarias;Tasa de variación anual;Gasto total;2018;1,96
Total;05 Canarias;Tasa de variación anual;Gasto total;2017;11,37
Total;05 Canarias;Tasa de variación anual;Gasto total;2016;11,78
Total;05 Canarias;Tasa de variación anual;Gasto medio por persona;2023;2,95
Total;05 Canarias;Tasa de variación anual;Gasto medio por persona;2022;3,59
Total;05 Canarias;Tasa de variación anual;Gasto medio por persona;2021;7,31
Total;05 Canarias;Tasa de variación anual;Gasto medio por persona;2020;-0,66
Total;05 Canarias;Tasa de variación anual;Gasto medio por persona;2019;3,03
Total;05 Canarias;Tasa de variación anual;Gasto medio por persona;2018;5,39
Total;05 Canarias;Tasa de variación anual;Gasto medio por persona;2017;3,89
Total;05 Canarias;Tasa de variación anual;Gasto medio por persona;2016;-1,5
Total;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2023;5,75
Total;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2022;6,82
Total;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2021;1,57
Total;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2020;-0,15
Total;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2019;2,97
Total;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2018;5,94
Total;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2017;5,8
Total;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2016;1,46
Total;05 Canarias;Tasa de variación anual;Duración media de los viajes;2023;-2,65
Total;05 Canarias;Tasa de variación anual;Duración media de los viajes;2022;-3,02
Total;05 Canarias;Tasa de variación anual;Duración media de los viajes;2021;5,65
Total;05 Canarias;Tasa de variación anual;Duración media de los viajes;2020;-0,51
Total;05 Canarias;Tasa de variación anual;Duración media de los viajes;2019;0,05
Total;05 Canarias;Tasa de variación anual;Duración media de los viajes;2018;-0,53
Total;05 Canarias;Tasa de variación anual;Duración media de los viajes;2017;-1,81
Total;05 Canarias;Tasa de variación anual;Duración media de los viajes;2016;-2,92
Total;09 Cataluña;Dato base;Gasto total;2023;21.248,17
Total;09 Cataluña;Dato base;Gasto total;2022;16.478,61
Total;09 Cataluña;Dato base;Gasto total;2021;5.523,36
Total;09 Cataluña;Dato base;Gasto total;2020;3.653,18
Total;09 Cataluña;Dato base;Gasto total;2019;21.318,75
Total;09 Cataluña;Dato base;Gasto total;2018;20.477,77
Total;09 Cataluña;Dato base;Gasto total;2017;19.224,09
Total;09 Cataluña;Dato base;Gasto total;2016;17.466,8
Total;09 Cataluña;Dato base;Gasto medio por persona;2023;1.169
Total;09 Cataluña;Dato base;Gasto medio por persona;2022;1.110
Total;09 Cataluña;Dato base;Gasto medio por persona;2021;954
Total;09 Cataluña;Dato base;Gasto medio por persona;2020;944
Total;09 Cataluña;Dato base;Gasto medio por persona;2019;1.100
Total;09 Cataluña;Dato base;Gasto medio por persona;2018;1.067
Total;09 Cataluña;Dato base;Gasto medio por persona;2017;1.006
Total;09 Cataluña;Dato base;Gasto medio por persona;2016;963
Total;09 Cataluña;Dato base;Gasto medio diario por persona;2023;209
Total;09 Cataluña;Dato base;Gasto medio diario por persona;2022;188
Total;09 Cataluña;Dato base;Gasto medio diario por persona;2021;154
Total;09 Cataluña;Dato base;Gasto medio diario por persona;2020;160
Total;09 Cataluña;Dato base;Gasto medio diario por persona;2019;197
Total;09 Cataluña;Dato base;Gasto medio diario por persona;2018;185
Total;09 Cataluña;Dato base;Gasto medio diario por persona;2017;169
Total;09 Cataluña;Dato base;Gasto medio diario por persona;2016;162
Total;09 Cataluña;Dato base;Duración media de los viajes;2023;5,58
Total;09 Cataluña;Dato base;Duración media de los viajes;2022;5,91
Total;09 Cataluña;Dato base;Duración media de los viajes;2021;6,19
Total;09 Cataluña;Dato base;Duración media de los viajes;2020;5,92
Total;09 Cataluña;Dato base;Duración media de los viajes;2019;5,58
Total;09 Cataluña;Dato base;Duración media de los viajes;2018;5,76
Total;09 Cataluña;Dato base;Duración media de los viajes;2017;5,96
Total;09 Cataluña;Dato base;Duración media de los viajes;2016;5,93
Total;09 Cataluña;Tasa de variación anual;Gasto total;2023;28,94
Total;09 Cataluña;Tasa de variación anual;Gasto total;2022;198,34
Total;09 Cataluña;Tasa de variación anual;Gasto total;2021;51,19
Total;09 Cataluña;Tasa de variación anual;Gasto total;2020;-82,86
Total;09 Cataluña;Tasa de variación anual;Gasto total;2019;4,11
Total;09 Cataluña;Tasa de variación anual;Gasto total;2018;6,52
Total;09 Cataluña;Tasa de variación anual;Gasto total;2017;10,06
Total;09 Cataluña;Tasa de variación anual;Gasto total;2016;3,98
Total;09 Cataluña;Tasa de variación anual;Gasto medio por persona;2023;5,32
Total;09 Cataluña;Tasa de variación anual;Gasto medio por persona;2022;16,26
Total;09 Cataluña;Tasa de variación anual;Gasto medio por persona;2021;1,1
Total;09 Cataluña;Tasa de variación anual;Gasto medio por persona;2020;-14,21
Total;09 Cataluña;Tasa de variación anual;Gasto medio por persona;2019;3,15
Total;09 Cataluña;Tasa de variación anual;Gasto medio por persona;2018;6,09
Total;09 Cataluña;Tasa de variación anual;Gasto medio por persona;2017;4,42
Total;09 Cataluña;Tasa de variación anual;Gasto medio por persona;2016;-0,38
Total;09 Cataluña;Tasa de variación anual;Gasto medio diario por persona;2023;11,43
Total;09 Cataluña;Tasa de variación anual;Gasto medio diario por persona;2022;21,88
Total;09 Cataluña;Tasa de variación anual;Gasto medio diario por persona;2021;-3,38
Total;09 Cataluña;Tasa de variación anual;Gasto medio diario por persona;2020;-19,12
Total;09 Cataluña;Tasa de variación anual;Gasto medio diario por persona;2019;6,5
Total;09 Cataluña;Tasa de variación anual;Gasto medio diario por persona;2018;9,82
Total;09 Cataluña;Tasa de variación anual;Gasto medio diario por persona;2017;3,9
Total;09 Cataluña;Tasa de variación anual;Gasto medio diario por persona;2016;13,38
Total;09 Cataluña;Tasa de variación anual;Duración media de los viajes;2023;-5,48
Total;09 Cataluña;Tasa de variación anual;Duración media de los viajes;2022;-4,61
Total;09 Cataluña;Tasa de variación anual;Duración media de los viajes;2021;4,64
Total;09 Cataluña;Tasa de variación anual;Duración media de los viajes;2020;6,06
Total;09 Cataluña;Tasa de variación anual;Duración media de los viajes;2019;-3,15
Total;09 Cataluña;Tasa de variación anual;Duración media de los viajes;2018;-3,39
Total;09 Cataluña;Tasa de variación anual;Duración media de los viajes;2017;0,5
Total;09 Cataluña;Tasa de variación anual;Duración media de los viajes;2016;-12,14
Total;10 Comunitat Valenciana;Dato base;Gasto total;2023;12.511,93
Total;10 Comunitat Valenciana;Dato base;Gasto total;2022;10.103,66
Total;10 Comunitat Valenciana;Dato base;Gasto total;2021;4.372,35
Total;10 Comunitat Valenciana;Dato base;Gasto total;2020;2.470,48
Total;10 Comunitat Valenciana;Dato base;Gasto total;2019;9.553,06
Total;10 Comunitat Valenciana;Dato base;Gasto total;2018;8.919,99
Total;10 Comunitat Valenciana;Dato base;Gasto total;2017;8.528,83
Total;10 Comunitat Valenciana;Dato base;Gasto total;2016;7.437,32
Total;10 Comunitat Valenciana;Dato base;Gasto medio por persona;2023;1.195
Total;10 Comunitat Valenciana;Dato base;Gasto medio por persona;2022;1.173
Total;10 Comunitat Valenciana;Dato base;Gasto medio por persona;2021;1.088
Total;10 Comunitat Valenciana;Dato base;Gasto medio por persona;2020;972
Total;10 Comunitat Valenciana;Dato base;Gasto medio por persona;2019;1.002
Total;10 Comunitat Valenciana;Dato base;Gasto medio por persona;2018;969
Total;10 Comunitat Valenciana;Dato base;Gasto medio por persona;2017;956
Total;10 Comunitat Valenciana;Dato base;Gasto medio por persona;2016;962
Total;10 Comunitat Valenciana;Dato base;Gasto medio diario por persona;2023;127
Total;10 Comunitat Valenciana;Dato base;Gasto medio diario por persona;2022;119
